subject,run,placebo_state_occupancy_entropy,lsd_state_occupancy_entropy,delta_state_occupancy_entropy,placebo_transition_entropy,lsd_transition_entropy,delta_transition_entropy,placebo_transition_rate,lsd_transition_rate,delta_transition_rate,placebo_mean_dwell_time,lsd_mean_dwell_time,delta_mean_dwell_time,placebo_barrier_reduction_proxy,lsd_barrier_reduction_proxy,delta_barrier_reduction_proxy,placebo_transition_step_distance_proxy,lsd_transition_step_distance_proxy,delta_transition_step_distance_proxy
sub-010,run-03,0.9994227761102117,0.999244647578,-0.00017812853221166325,0.8802772380563442,0.8880973994771739,0.007820161420829752,0.4398148148148148,0.4444444444444444,0.004629629629629595,2.2604166666666665,2.2371134020618557,-0.023303264604810803,-2.2604166666666665,-2.2371134020618557,0.023303264604810803,1.5012906255721719,1.5299212831819389,0.02863065760976702
sub-011,run-01,0.9997307997723637,0.9997935239116841,6.272413932040255e-05,0.8716571466961125,0.8233480334896038,-0.04830911320650866,0.4722222222222222,0.38425925925925924,-0.08796296296296297,2.1067961165048543,2.5833333333333335,0.47653721682847916,-2.1067961165048543,-2.5833333333333335,-0.47653721682847916,1.5387422325916786,1.4261881132433911,-0.11255411934828752
sub-011,run-03,0.9992287383350412,0.9994340263767378,0.0002052880416966163,0.7941359848376504,0.8242120644746982,0.030076079637047837,0.35185185185185186,0.41203703703703703,0.060185185185185175,2.8181818181818183,2.411111111111111,-0.40707070707070736,-2.8181818181818183,-2.411111111111111,0.40707070707070736,1.4185626624626901,1.4565727217321276,0.03801005926943746
sub-012,run-01,0.9996087943198481,0.9995494307696293,-5.9363550218738403e-05,0.8377739715112934,0.8649653659867096,0.027191394475416186,0.4305555555555556,0.44907407407407407,0.01851851851851849,2.3085106382978724,2.2142857142857144,-0.09422492401215798,-2.3085106382978724,-2.2142857142857144,0.09422492401215798,1.3976677243802076,1.4906295449791835,0.09296182059897595
sub-012,run-03,0.9966925125878473,0.9960507859415989,-0.0006417266462483973,0.8407376214001676,0.8249902171889855,-0.015747404211182148,0.38425925925925924,0.4027777777777778,0.018518518518518545,2.5833333333333335,2.465909090909091,-0.11742424242424265,-2.5833333333333335,-2.465909090909091,0.11742424242424265,1.4213990766530926,1.456273327966367,0.034874251313274485
sub-013,run-01,0.9940192985435079,0.992928019964119,-0.0010912785793889546,0.8360114923866853,0.8464327067589149,0.010421214372229648,0.3888888888888889,0.4166666666666667,0.02777777777777779,2.552941176470588,2.3846153846153846,-0.16832579185520347,-2.552941176470588,-2.3846153846153846,0.16832579185520347,1.4389709875318764,1.410795042989858,-0.02817594454201844
sub-013,run-03,0.995463993612682,0.9946884679662272,-0.0007755256464547777,0.8431070726184257,0.8416738626103453,-0.0014332100080803878,0.4398148148148148,0.4398148148148148,0.0,2.2604166666666665,2.2604166666666665,0.0,-2.2604166666666665,-2.2604166666666665,0.0,1.4751296444922086,1.4615860828880816,-0.013543561604127063
sub-015,run-01,0.9985095093566925,0.9983139065423567,-0.0001956028143357269,0.8733189839605263,0.8741983120287762,0.0008793280682498628,0.44907407407407407,0.4583333333333333,0.009259259259259245,2.2142857142857144,2.17,-0.044285714285714484,-2.2142857142857144,-2.17,0.044285714285714484,1.6138366266418747,1.5267941703039256,-0.08704245633794905
sub-015,run-03,0.9990742949333353,0.9987890423786507,-0.00028525255468458965,0.8657840525135254,0.8671360143761967,0.0013519618626712804,0.4444444444444444,0.4722222222222222,0.02777777777777779,2.2371134020618557,2.1067961165048543,-0.1303172855570014,-2.2371134020618557,-2.1067961165048543,0.1303172855570014,1.5371353649426982,1.4890074027670177,-0.048127962175680494
sub-017,run-01,0.9906141918958418,0.9891010640412669,-0.0015131278545749138,0.7911493097372256,0.8165055038345373,0.025356194097311713,0.32407407407407407,0.37962962962962965,0.05555555555555558,3.056338028169014,2.6144578313253013,-0.4418801968437127,-3.056338028169014,-2.6144578313253013,0.4418801968437127,1.274745360705725,1.2663545982377582,-0.008390762467966884
sub-017,run-03,0.9966925125878473,0.9960507859415989,-0.0006417266462483973,0.8537115660086522,0.8142846641035174,-0.03942690190513476,0.4305555555555556,0.36574074074074076,-0.06481481481481483,2.3085106382978724,2.7125,0.4039893617021275,-2.3085106382978724,-2.7125,-0.4039893617021275,1.5227055150264748,1.2719206676919683,-0.25078484733450646
sub-018,run-01,0.9966323460038191,0.9961050834839,-0.0005272625199190806,0.8565508621697625,0.8417920092028083,-0.014758852966954228,0.4722222222222222,0.4444444444444444,-0.02777777777777779,2.1067961165048543,2.2371134020618557,0.1303172855570014,-2.1067961165048543,-2.2371134020618557,-0.1303172855570014,1.50683099261436,1.4950440080700147,-0.011786984544345236
sub-018,run-03,0.9976110781112391,0.9974109345046931,-0.00020014360654596608,0.8325916423081844,0.8379340147892899,0.005342372481105473,0.41203703703703703,0.4166666666666667,0.00462962962962965,2.411111111111111,2.3846153846153846,-0.0264957264957264,-2.411111111111111,-2.3846153846153846,0.0264957264957264,1.5621243007334993,1.4536026781410343,-0.108521622592465
sub-019,run-01,0.9882379305444665,0.9857217793636949,-0.002516151180771642,0.7892082042983285,0.8513208305952048,0.062112626296876305,0.3333333333333333,0.4675925925925926,0.1342592592592593,2.9726027397260273,2.127450980392157,-0.8451517593338704,-2.9726027397260273,-2.127450980392157,0.8451517593338704,1.371463569285393,1.5142738438558174,0.1428102745704245
sub-019,run-03,0.9975968273484928,0.9971165323494435,-0.00048029499904922446,0.8340922714322541,0.8469425344704752,0.012850263038221121,0.4074074074074074,0.4027777777777778,-0.004629629629629595,2.438202247191011,2.465909090909091,0.027706843718079632,-2.438202247191011,-2.465909090909091,-0.027706843718079632,1.28107833389576,1.4790806790029762,0.19800234510721615
sub-020,run-01,0.9948735434899456,0.9945686614106153,-0.0003048820793303264,0.8313373612098031,0.8505556894456493,0.019218328235846238,0.39351851851851855,0.4398148148148148,0.04629629629629628,2.5232558139534884,2.2604166666666665,-0.2628391472868219,-2.5232558139534884,-2.2604166666666665,0.2628391472868219,1.4728829156501189,1.489846195506068,0.016963279855949143
sub-020,run-03,0.998927562776695,0.9989983555390414,7.079276234633891e-05,0.8683001343448091,0.8516179653933782,-0.01668216895143093,0.5138888888888888,0.44907407407407407,-0.06481481481481477,1.9375,2.2142857142857144,0.2767857142857144,-1.9375,-2.2142857142857144,-0.2767857142857144,1.5319737301878529,1.5254507167234896,-0.0065230134643632365
