dynamic_metric,module_dvars_feature,module_dvars_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
thalamic_coupling,module_dvars_mean_mean_abs,False,30,0.17973240700340246,0.3410592413735527,-0.2516675909331292,0.14106233520114106,-0.27519466073414905
within_network_stability,module_dvars_mean_mean_abs,False,30,0.18947761038338257,0.3445047461516047,-0.24631597781766526,0.3198336813665807,-0.18798665183537264
cross_network_communication,module_dvars_median_delta_lsd_minus_placebo,False,30,0.22290025027703664,0.37459660270710393,-0.22929448849951045,0.5864438659169561,-0.10344827586206896
effective_barrier_proxy,module_dvars_median_delta_lsd_minus_placebo,False,30,0.04166690335286087,0.14492835948821173,-0.3741416129860808,0.036044306015699676,-0.38424741588310174
entropy_diversity,module_dvars_median_delta_lsd_minus_placebo,False,30,0.03367765688995475,0.1282958357712562,0.3888844900040142,0.054343728560591796,0.3548387096774193
hierarchical_compression,module_dvars_median_delta_lsd_minus_placebo,False,30,0.13290298904027514,0.3127129153888827,-0.28074095716808073,0.3352175797909752,-0.182202447163515
metastability_proxy,module_dvars_median_delta_lsd_minus_placebo,False,30,0.6204601057807906,0.7193740356878732,-0.09421212201382702,0.6060088503757058,-0.09810901001112346
switching_rate,module_dvars_median_delta_lsd_minus_placebo,False,30,0.02044920809523501,0.09627237155406199,0.42120000826975107,0.01813502744898893,0.4285558400252114
thalamic_coupling,module_dvars_median_delta_lsd_minus_placebo,False,30,0.8083031332212866,0.8621900087693724,-0.04623636000437404,0.9860368669198688,0.0033370411568409346
within_network_stability,module_dvars_median_delta_lsd_minus_placebo,False,30,0.12591396428741947,0.3075571252720018,-0.28569340386546077,0.42832849123949773,-0.15016685205784203
cross_network_communication,module_dvars_median_mean_abs,False,30,0.14200987801459114,0.324594006890494,-0.2745658387433183,0.09116763283298059,-0.3139043381535039
effective_barrier_proxy,module_dvars_median_mean_abs,False,30,0.12686731417470073,0.3075571252720018,0.2850061509419552,0.16510811042877294,0.2600956740980579
entropy_diversity,module_dvars_median_mean_abs,False,30,0.5965466753869281,0.7193740356878732,-0.10068181053520421,0.20482230186655512,-0.2382647385984427
hierarchical_compression,module_dvars_median_mean_abs,False,30,0.7722005986438958,0.834811457993401,-0.055158321599736417,0.5751604749636792,-0.10656284760845385
metastability_proxy,module_dvars_median_mean_abs,False,30,0.10505226353486236,0.2801393694262996,0.30180031438843824,0.1093094946456558,0.2983314794215795
switching_rate,module_dvars_median_mean_abs,False,30,0.2034866029419802,0.3617539607857426,-0.2389486723421315,0.17729983549783274,-0.25303504899617474
thalamic_coupling,module_dvars_median_mean_abs,False,30,0.18331934223828455,0.3410592413735527,-0.2496747278338404,0.17510097895937088,-0.25428253615127916
within_network_stability,module_dvars_median_mean_abs,False,30,0.153694254057694,0.3351231963735282,-0.2670504057258144,0.189556149764377,-0.2462736373748609
cross_network_communication,module_dvars_p95_delta_lsd_minus_placebo,True,30,5.069112442517598e-05,0.0005069112442517597,0.6702847137730911,0.004911002394510982,0.49988876529477194
effective_barrier_proxy,module_dvars_p95_delta_lsd_minus_placebo,True,30,2.7145717913824643e-06,9.918870896956845e-05,-0.7418339029393592,1.223196143822539e-06,-0.7580376062036639
entropy_diversity,module_dvars_p95_delta_lsd_minus_placebo,False,30,0.613777162442933,0.7193740356878732,-0.0960094677712922,0.5187239738546686,-0.12258064516129033
hierarchical_compression,module_dvars_p95_delta_lsd_minus_placebo,False,30,0.097636100285631,0.2743766951899944,0.30810387458446814,0.31866868599863024,0.1884315906562848
metastability_proxy,module_dvars_p95_delta_lsd_minus_placebo,False,30,0.5588786154000559,0.6985982692500698,-0.11110584307735105,0.3647783264607481,-0.17152391546162402
switching_rate,module_dvars_p95_delta_lsd_minus_placebo,True,30,3.719576586358817e-06,9.918870896956845e-05,0.7350871957862093,1.9566302345396293e-06,0.7486362673205487
thalamic_coupling,module_dvars_p95_delta_lsd_minus_placebo,True,30,2.6189126802628364e-05,0.0003491883573683782,0.6883188942428319,0.0017037403013573096,0.5483870967741935
within_network_stability,module_dvars_p95_delta_lsd_minus_placebo,False,30,0.014935664119438101,0.09191177919654217,0.44012697048362465,0.022142863324015872,0.4162402669632926
cross_network_communication,module_dvars_p95_mean_abs,False,30,0.6176863683663872,0.7193740356878732,0.0949571276667196,0.4593681982396651,0.1403781979977753
effective_barrier_proxy,module_dvars_p95_mean_abs,False,30,0.41708151603790367,0.6066640233278598,-0.15380890814164938,0.3603199642757633,-0.17310045718416514
entropy_diversity,module_dvars_p95_mean_abs,False,30,0.15684409618038547,0.3351231963735282,0.26509519617693866,0.26897217902440945,0.20845383759733035
hierarchical_compression,module_dvars_p95_mean_abs,False,30,0.22944041915810115,0.37459660270710393,0.22617116888969413,0.11786113021837179,0.2916573971078976
metastability_proxy,module_dvars_p95_mean_abs,False,30,0.5012025383797458,0.6785979092892923,0.12772184804694167,0.8858673112521352,0.02736373748609566
switching_rate,module_dvars_p95_mean_abs,False,30,0.46053045907984247,0.6579006558283463,0.1400186651066157,0.42914209189357905,0.1499054471605859
thalamic_coupling,module_dvars_p95_mean_abs,False,30,0.9429825117555382,0.9549189992461146,-0.013636901171150104,0.9469744867472001,-0.01268075639599555
within_network_stability,module_dvars_p95_mean_abs,False,30,0.6978885341964753,0.7863532779678596,-0.07391388060360271,0.8601156210111619,0.033592880978865404
cross_network_communication,module_dvars_spike_fraction_delta_lsd_minus_placebo,True,30,0.00017098944608984933,0.0015199061874653275,0.6335702152654364,0.0004742330717624794,0.5986636954457122
effective_barrier_proxy,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.021170663435483628,0.09627237155406199,-0.41904744259800947,0.01074648493630751,-0.45891506696605217
entropy_diversity,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.7252440897224236,0.8058267663582485,-0.06693965324167939,0.6647264180499197,-0.08249741799438118
hierarchical_compression,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.018155508725151252,0.09627237155406199,0.42848741913911303,0.15395046945720608,0.2668902955115521
metastability_proxy,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.7490937315975367,0.8209246373671635,0.060928194622627024,0.895785925567382,0.02497219139289376
switching_rate,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.02286468824408972,0.09627237155406199,0.4142208497451298,0.01049887694808022,0.46020784467164433
thalamic_coupling,module_dvars_spike_fraction_delta_lsd_minus_placebo,True,30,0.0012360779607586228,0.009888623686068982,0.5617734678699536,0.0007425123474095183,0.5819412458522565
within_network_stability,module_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.01267940224151497,0.08452934827676646,0.44960124939775564,0.01709763715229355,0.4321080974948939
cross_network_communication,module_dvars_spike_fraction_mean_abs,False,30,0.03354119416765367,0.1282958357712562,0.38915979957656244,0.05547488547855668,0.3532965787021436
effective_barrier_proxy,module_dvars_spike_fraction_mean_abs,False,30,0.022037652143630397,0.09627237155406199,-0.41653911138397415,0.026511300586149627,-0.4047525010743078
entropy_diversity,module_dvars_spike_fraction_mean_abs,False,30,0.4908695372529369,0.6770614306937061,0.1307959162337255,0.4432260960635035,0.1454225816374985
hierarchical_compression,module_dvars_spike_fraction_mean_abs,False,30,0.07366106740050671,0.21825501452001989,0.3313560210703632,0.06916796425885853,0.33634548022906097
metastability_proxy,module_dvars_spike_fraction_mean_abs,False,30,0.5538377937656995,0.6985982692500698,-0.11252454923609038,0.28476827814762407,-0.20185189629131312
switching_rate,module_dvars_spike_fraction_mean_abs,False,30,0.035640815985477914,0.12960296721991968,0.38502027145626444,0.03355843910912887,0.38912495849653317
thalamic_coupling,module_dvars_spike_fraction_mean_abs,False,30,0.171583966815609,0.3410592413735527,0.2563010392363974,0.3024988143671444,0.19471459167106775
within_network_stability,module_dvars_spike_fraction_mean_abs,False,30,0.29539668608942354,0.4633673507285075,0.19754081483061683,0.2066863373525377,0.2373153786231571
