dynamic_metric,image_motion_qc_feature,image_motion_qc_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
entropy_diversity,com_displacement_mean_mm_mean_abs,False,30,0.001735936896962784,0.11612697616803207,-0.5475886711557357,0.009512197230325236,-0.46562847608453833
hierarchical_compression,com_displacement_mean_mm_mean_abs,False,30,0.6667334173518945,0.9411454421443864,-0.081973557496941,0.357247839636608,-0.17419354838709677
metastability_proxy,com_displacement_mean_mm_mean_abs,False,30,0.4943843366679366,0.9073906686781444,-0.12974662988610683,0.9395449585639919,-0.014460511679644046
switching_rate,com_displacement_mean_mm_mean_abs,False,30,0.6236666147467835,0.9411454421443864,-0.0933525823774435,0.6270859521837836,-0.09243798004701806
thalamic_coupling,com_displacement_mean_mm_mean_abs,False,30,0.8621297055591848,0.9610425648407773,0.03310454585447497,0.8509511779244581,0.035817575083426034
within_network_stability,com_displacement_mean_mm_mean_abs,False,30,0.010134890410776464,0.13267492901380099,0.4621555593146467,0.037489584797057,0.3815350389321468
cross_network_communication,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.49683505383007975,0.9073906686781444,-0.1290172388414016,0.5356772351954263,-0.11768631813125695
effective_barrier_proxy,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.813219278470068,0.951334836687703,0.045029235827433636,0.9692833830422253,-0.007342307309868187
entropy_diversity,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.6881180606359768,0.9411454421443864,0.07642732236037993,0.5202542743830019,0.1221357063403782
hierarchical_compression,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.42782672384689857,0.8677049047035689,-0.1503282029907657,0.5080737953256859,-0.12569521690767518
metastability_proxy,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.07800698095991004,0.4820694842168531,0.3267490161928083,0.15634031344449364,0.2654060066740823
switching_rate,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.5825463763678669,0.9411454421443864,-0.1045210858975243,0.8260955616767803,-0.04187551867190215
thalamic_coupling,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.6554439754291155,0.9411454421443864,-0.0849280912862645,0.5450342669201209,-0.11501668520578419
within_network_stability,com_displacement_p95_mm_delta_lsd_minus_placebo,False,30,0.9586433334568212,0.9845709731561348,0.009887516331391299,0.8619506877791012,0.03314794215795328
cross_network_communication,com_displacement_p95_mm_mean_abs,False,30,0.5293112233955842,0.9073906686781444,0.11951528193064676,0.8454615546853463,0.0371523915461624
effective_barrier_proxy,com_displacement_p95_mm_mean_abs,False,30,0.8213886404752152,0.951334836687703,-0.0430270581935558,0.759620051693186,-0.058293470157135305
entropy_diversity,com_displacement_p95_mm_mean_abs,False,30,0.007257936010502003,0.11612697616803207,-0.48006221500935753,0.039708153892522406,-0.3775305895439377
hierarchical_compression,com_displacement_p95_mm_mean_abs,False,30,0.8764273770200006,0.9610425648407773,-0.029643648908771667,0.3685784472672135,-0.17018909899888765
metastability_proxy,com_displacement_p95_mm_mean_abs,False,30,0.32767638468669535,0.8148976726420812,-0.185017043117495,0.9247014225657184,-0.018020022246941044
switching_rate,com_displacement_p95_mm_mean_abs,False,30,0.8600918183266192,0.9610425648407773,0.033598653420857306,0.7495706031409385,0.06080859892249621
thalamic_coupling,com_displacement_p95_mm_mean_abs,False,30,0.769420823774905,0.9411454421443864,0.05584981417421152,0.8345038040366157,0.03982202447163515
within_network_stability,com_displacement_p95_mm_mean_abs,False,30,0.008587225196916503,0.12365604283559764,0.4711588696543468,0.013385140351714392,0.44649610678531704
cross_network_communication,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.014264785680637267,0.14672350985798333,0.4428116948205249,0.010316022582463651,0.46117908787541706
effective_barrier_proxy,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.027755737972011377,0.23510742752762576,-0.4017650356984448,0.05796785405675759,-0.3499833151037169
entropy_diversity,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.79675547142612,0.9482048585567049,0.04907881130616103,0.6885846533599633,-0.07630700778642936
hierarchical_compression,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.15923834183652996,0.6551520349845804,0.26362775328348786,0.16292026995889453,0.26140155728587317
metastability_proxy,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.4489454749003491,0.8814723940283363,-0.1436242044024644,0.3724017531717405,-0.16885428253615126
switching_rate,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.03684152674946259,0.2792199922064533,0.382740659856671,0.08328027992183136,0.3214168800189086
thalamic_coupling,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.10960163066594995,0.5636655291391712,0.298097174636259,0.1790358117391389,0.2520578420467186
within_network_stability,global_signal_derivative_rms_delta_lsd_minus_placebo,False,30,0.0069105075262607995,0.11612697616803207,0.48261612022878425,0.0017396582134236677,0.5474972191323693
cross_network_communication,global_signal_derivative_rms_mean_abs,False,30,0.24391587358159134,0.7473167190584926,0.21946483675122735,0.4214387472122442,0.15239154616240266
effective_barrier_proxy,global_signal_derivative_rms_mean_abs,False,30,0.8987339245553813,0.9610425648407773,-0.024262110665527817,0.722488390584724,-0.06763822491514936
entropy_diversity,global_signal_derivative_rms_mean_abs,False,30,0.16975080183188954,0.6790032073275581,-0.2573647576442621,0.34612718188810027,-0.17819799777530587
hierarchical_compression,global_signal_derivative_rms_mean_abs,False,30,0.9009913285910016,0.9610425648407773,-0.023718588223162404,0.4990322211270611,-0.12836484983314794
metastability_proxy,global_signal_derivative_rms_mean_abs,False,30,0.7302743208592288,0.9411454421443864,0.06566667567518161,0.647625896626907,0.08698553948832036
switching_rate,global_signal_derivative_rms_mean_abs,False,30,0.9840338917945664,0.9909152476812417,-0.0038157876519635293,0.7522367257537325,0.06014037256071054
thalamic_coupling,global_signal_derivative_rms_mean_abs,False,30,0.31191721046205667,0.8148976726420812,0.19103020917076174,0.27423022087180743,0.20622914349276972
within_network_stability,global_signal_derivative_rms_mean_abs,False,30,0.002932852487459654,0.11612697616803207,0.5243910505635858,0.0026354841842274714,0.5292547274749722
cross_network_communication,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.2416426145853911,0.7473167190584926,0.2205001055842839,0.5448849210378952,0.11505912419935782
